file,filter,mean,std,min,25%,50%,75%,max
PGC0001237_i.fits,i,5.977137,34.509853,-27.011745,-3.2545559406280518,1.5479050874710083,6.772756576538086,1697.0078
PGC0001293_i.fits,i,15.198273,200.41138,-26.253763,-3.045827865600586,1.820117473602295,7.5174784660339355,9696.218
PGC0001306_i.fits,i,15.208198,82.86041,-29.193916,-0.9562106132507324,4.6738691329956055,12.615025520324707,5265.1343
PGC0001309_i.fits,i,36.061157,131.14053,-25.199282,5.111690998077393,13.114677429199219,33.79896926879883,5676.3804
PGC0001478_i.fits,i,4.310075,36.587627,-24.343449,-2.6333096027374268,0.9032084345817566,5.9374494552612305,3278.1362
PGC0001523_i.fits,i,5.233703,46.623623,-18.40081,-2.2143478393554688,1.139314889907837,5.074994087219238,8841.654
PGC0001621_i.fits,i,1.2502664,16.026047,-26.92261,-3.6642110347747803,0.08385107666254044,3.980504035949707,1593.5841
PGC0001713_i.fits,i,2.1570342,10.570812,-13.883567,-1.734984278678894,0.8963190317153931,3.7295727729797363,786.4413
PGC0001747_i.fits,i,3.9642084,29.019121,-25.504696,-2.4611105918884277,1.7788574695587158,6.332521438598633,3448.834
PGC0001781_i.fits,i,0.60084087,103.92762,-15.942023,-3.3258538246154785,-1.1066776514053345,1.2314499616622925,14671.38
PGC0001805_i.fits,i,6.497027,197.42337,-28.615496,-3.559373140335083,1.3372721672058105,6.659830093383789,37312.12
PGC0001841_i.fits,i,5.8589306,35.521683,-16.766624,-1.7023980617523193,1.1918994188308716,4.3725905418396,1707.514
PGC0001862_i.fits,i,3.7494557,47.235077,-29.241098,-5.154142379760742,-0.24255608022212982,5.18958044052124,4237.478
PGC0001909_i.fits,i,3.3747845,29.785065,-21.069723,-3.6963653564453125,-0.48631003499031067,3.067389965057373,1184.1255
PGC0001932_i.fits,i,8.735336,134.44438,-21.13776,-3.1328072547912598,0.2991175651550293,4.2798638343811035,13828.633
PGC0001933_i.fits,i,7.3535295,114.85267,-19.083355,-1.322157382965088,1.7333259582519531,5.0583415031433105,8090.1807
PGC0001936_i.fits,i,0.32563642,12.604168,-26.592285,-4.4449896812438965,-0.18077093362808228,4.168609619140625,1118.1302
PGC0002016_i.fits,i,2.0962844,16.662943,-26.688103,-3.311821937561035,1.4813382625579834,6.475492477416992,2160.2598
PGC0002035_i.fits,i,4.6573887,48.05973,-9.635927,-2.0281944274902344,-0.55577152967453,1.1719197034835815,3395.5388
PGC0002076_i.fits,i,9.417476,58.954617,-15.1727705,-0.15780210494995117,3.126530170440674,7.361643314361572,3806.335
PGC0002149_i.fits,i,12.805332,79.81741,-19.08687,1.3740044832229614,5.313838005065918,10.388142585754395,8106.795
PGC0002151_i.fits,i,3.4245875,16.357288,-34.93266,-4.4789862632751465,1.1913034915924072,7.519514560699463,780.35333
PGC0002182_i.fits,i,6.751208,57.180733,-20.934376,-1.795682430267334,1.8217002153396606,6.3061981201171875,5865.8726
PGC0002269_i.fits,i,6.688625,105.54892,-19.39998,-2.198500633239746,1.4197700023651123,5.7561564445495605,11829.831
PGC0002288_i.fits,i,4.144301,48.265213,-16.661438,-2.403468132019043,0.5348701477050781,3.851609706878662,3248.0342
PGC0002331_i.fits,i,16.247303,132.80795,-18.40524,-1.9210468530654907,1.7854028940200806,7.326318264007568,15370.67
PGC0002332_i.fits,i,46.53391,268.05734,-26.034449,3.330941915512085,13.757224082946777,43.955467224121094,16646.535
PGC0002352_i.fits,i,8.24974,64.773445,-13.490804,-1.6105890274047852,0.8092398047447205,4.128894329071045,5614.5986
PGC0002357_i.fits,i,12.618973,95.887184,-17.478802,-0.15492594242095947,3.749868392944336,9.323579788208008,7269.5786
PGC0002365_i.fits,i,8.066076,31.827093,-23.92045,-1.0302135944366455,4.1339216232299805,10.387789726257324,3074.9785
PGC0002388_i.fits,i,4.5414233,20.406654,-12.510918,-1.944725513458252,0.47293055057525635,3.6686415672302246,1797.5342
PGC0002391_i.fits,i,9.216165,47.9926,-35.332966,-3.4484174251556396,2.3440816402435303,9.196959495544434,2022.0404
PGC0002440_i.fits,i,5.1644707,22.082687,-30.018597,-3.7291629314422607,0.9229671359062195,6.358065605163574,798.75134
PGC0002482_i.fits,i,6.332698,87.383156,-11.9964485,-1.9655332565307617,0.015526484698057175,2.2978343963623047,17146.861
PGC0002501_i.fits,i,11.225408,33.98302,-17.610975,0.5853263139724731,4.828679084777832,10.528768539428711,2178.5103
PGC0002522_i.fits,i,16.121084,121.465034,-31.590008,-3.0608344078063965,2.049480676651001,8.488162994384766,4814.182
PGC0002527_i.fits,i,4.6828327,56.646507,-27.65599,-5.787378311157227,-1.4453037977218628,3.3605728149414062,3882.9873
PGC0002597_i.fits,i,7.6428337,79.76362,-17.745922,-2.203296422958374,1.0864009857177734,4.9922637939453125,14887.695
PGC0002600_i.fits,i,11.8955,101.72294,-13.133034,-0.3353320062160492,2.6179492473602295,6.961146354675293,11923.027
PGC0002615_i.fits,i,5.479383,89.2774,-18.51493,-1.846312403678894,1.5976005792617798,5.385364532470703,9281.143
PGC0002768_i.fits,i,7.253752,55.475826,-26.515879,-2.8495051860809326,1.4210528135299683,6.345554351806641,3935.8203
PGC0002800_i.fits,i,4.195235,55.64036,-18.734735,-3.029508113861084,0.08943318575620651,3.4428818225860596,4831.135
PGC0002805_i.fits,i,-0.03196101,20.465343,-11.365581,-2.5422253608703613,-0.9199793338775635,0.7674301862716675,3819.3213
PGC0002889_i.fits,i,4.163291,106.19644,-15.718151,-2.1015796661376953,0.43009209632873535,3.101179599761963,20402.166
PGC0003072_i.fits,i,4.525883,156.10414,-16.37236,-2.866130828857422,-0.15790441632270813,2.788817882537842,28536.094
PGC0003140_i.fits,i,4.8972216,46.955757,-32.18449,-5.119835376739502,0.017033902928233147,5.6434526443481445,2117.5496
PGC0003232_i.fits,i,-0.22651583,6.977982,-25.33881,-4.134815692901611,-0.4124499261379242,3.436218023300171,466.68225
PGC0003312_i.fits,i,7.4028134,53.31752,-32.33065,-2.916795492172241,2.5502119064331055,8.622208595275879,3436.8374
PGC0003314_i.fits,i,2.7107694,19.84386,-25.4222,-2.970489740371704,1.263625979423523,5.787250518798828,2172.6401
